Genus species,ETS,GBSSI,ITS,matK,PHYA,PHYB,psbA,rbcL,rpl32,rps2
Micrargeria filiformis,-,-,KC480299,FN773549,-,-,-,-,-,-
Monochasma savatieri,-,-,KM408228,-,AM233927,-,-,-,-,-
Monochasma sheareri,-,-,KM408221,KC542169,-,KC542241,-,MG546911,-,MG547003
Neobartsia canescens,-,-,FJ790054,JF900582,-,-,-,-,-,-
Neobartsia crenata,-,-,KM408218,KC542148,-,KC542202,-,-,-,KC480414
Neobartsia crenoloba,-,-,JF900517,-,-,-,-,-,-,-
Neobartsia laniflora,-,-,FJ790047,-,-,-,-,-,-,-
Neobartsia laticrenata,-,-,KM408226,FJ790114,-,-,-,-,-,-
Neobartsia melampyroides,-,-,KM408229,-,-,-,-,-,-,-
Neobartsia mutica,-,-,KM408220,JF900581,-,-,-,-,-,-
Neobartsia pedicularoides,-,-,KM408224,FJ790107,-,-,-,-,-,-
Neobartsia pyricarpa,-,-,KM408222,-,-,-,-,-,-,-
Neobartsia ramosa,-,-,KM408223,-,-,-,-,-,-,-
Neobartsia santolinifolia,-,-,KC480364,-,-,-,-,-,-,-
Neobartsia sericea,-,-,EU259257,-,-,-,-,-,-,-
Neobartsia stricta,-,-,-,FJ790121,AM233986,-,-,-,-,-
Neobartsia tenuis,-,-,-,-,AM233987,-,-,-,-,-
Neobartsia thiantha,-,-,-,-,-,-,-,-,-,-
Nesogenes africanus,-,-,-,-,-,-,-,-,-,-
Nesogenes dupontii,-,-,HM193531,KC542170,-,KC542242,-,-,-,-
Nothobartsia aspera,-,-,JF900508,HM193527,-,-,-,-,-,-
Nothobartsia asperrima,-,-,JX629746,KX959123,-,-,-,-,-,-
Nothobartsia spicata,-,-,JF900507,KX959100,-,-,-,-,-,-
Odontitella virgata,-,-,JF900522,JF900572,-,-,-,KU235113,-,-
Odontites alshehbazianus,-,-,KX958740,-,-,-,-,-,-,-
Odontites aucheri,-,-,JF900528,FJ790098,-,-,-,-,-,-
Odontites bocconei,-,-,KX958743,HM193528,-,-,-,-,-,-
Odontites bolligeri,-,-,MF444476,KX959060,-,-,-,-,-,-
Odontites cebennensis,-,-,JF900525,KX959094,-,-,-,-,-,-
Odontites corsicus,-,-,JF900529,KX959050,-,-,-,-,-,-
Odontites cyprius,-,-,MF444510,KX959235,-,-,-,-,-,-
Odontites discolor,-,-,KX958615,-,-,-,-,-,-,-
Odontites foliosus,-,-,MF444548,KX959097,-,-,-,-,-,-
Odontites glutinosus,-,-,MF444609,JF900584,-,-,-,-,-,-
Odontites hispidulus,-,-,MF444578,-,-,-,-,-,-,-
Odontites hollianus,-,-,MF444604,KX959046,-,-,-,-,-,-
Odontites jaubertianus,-,-,KX958502,KX959223,-,-,-,-,-,-
Odontites kaliformis,-,-,MF444571,KX959000,-,-,-,-,-,-
Odontites lanceolatus,-,-,KX958684,KX959164,-,-,-,-,-,-
Odontites lapiei,-,-,MF444512,KX959224,-,-,-,-,-,-
Odontites linkii,-,-,MF444603,KX959056,-,-,-,-,-,-
Odontites litoralis,-,-,MF444552,KX959170,-,-,-,-,-,-
Odontites longiflorus,-,-,MF444520,KX959133,-,-,-,-,-,-
Odontites maroccanus,-,-,MF444523,KX959064,-,-,-,-,-,-
Odontites powellii,-,-,MF444584,KX959066,-,-,-,-,-,-
Odontites recordonii,-,-,MF444516,KX959023,-,-,-,-,-,-
Odontites rigidifolius,-,-,KX958749,-,AM233988,-,-,-,-,-
Odontites sillettii,-,-,MF444509,KX959246,-,-,-,-,-,-
Odontites triboutii,-,-,KX958739,-,-,-,-,-,-,-
Odontites vernus,-,-,MF444528,KC542171,-,KC542243,-,-,-,KC480428
Odontites violaceus,-,-,MF444527,-,-,-,-,-,-,-
Odontites vulcanicus,-,-,MF444583,KX959229,-,-,-,-,-,-
Odontites vulgaris,-,-,-,-,-,-,-,-,-,-
Omphalotrix longipes,-,-,-,KX526736,-,-,-,KX527434,-,-
Orobanche alsatica,-,-,KY513937,-,-,-,-,AY582182,-,-
Orobanche amethystea,-,-,EU655614,-,-,-,-,AF161798,-,DQ310023
Orobanche anatolica,-,-,KY218653,-,-,-,-,-,-,DQ310013
Orobanche artemisiae-campestris,-,-,KR260921,-,-,-,-,AY582184,-,DQ310018
Orobanche austrohispanica,-,-,AY209241,-,KU647700,-,-,-,-,-
Orobanche ballotae,-,-,KF359499,-,-,-,-,-,-,-
Orobanche bartlingii,-,-,KY513933,-,-,-,-,AY582186,-,DQ310017
Orobanche boninsimae,-,-,KU647698,KU647699,-,KU647701,-,-,-,KU647702
Orobanche caryophyllacea,-,-,KY513941,AF051992,-,-,-,-,-,AF055145
Orobanche coerulescens,-,-,KY513935,-,-,-,-,AY582187,-,DQ310016
Orobanche colorata,-,-,AY209281,-,-,-,-,AY582190,-,DQ310012
Orobanche crenata,-,-,EU655607,HM854937,AM233991,-,-,AY582191,-,DQ310022
Orobanche crinita,-,-,AY209244,-,-,-,-,-,-,-
Orobanche densiflora,-,-,KC480370,-,-,-,-,-,-,DQ310032
Orobanche elatior,-,-,KY513969,JN894103,-,-,-,JN890873,-,DQ403781
Orobanche flava,-,-,KY513955,-,AM233993,-,-,-,-,DQ310029
Orobanche foetida,-,-,EU655603,-,-,-,-,-,-,-
Orobanche gracilis,-,-,JX193303,HE967449,-,-,-,AY582197,-,DQ310030
Orobanche grenieri,-,-,KP641335,-,-,-,-,KP635272,-,-
Orobanche grossheimii,-,-,AY209277,-,-,-,-,-,-,DQ310028
Orobanche haenseleri,-,-,AY209253,-,-,-,-,-,-,-
Orobanche hederae,-,-,KY513931,AF051995,-,-,-,AF078682,-,KX160952
Orobanche inulae,-,-,MH100855,-,-,-,-,-,-,-
Orobanche kochii,-,-,KY513942,-,-,-,-,-,-,-
Orobanche krylowii,-,-,KY218645,-,-,-,-,-,-,-
Orobanche laxissima,-,-,KR260916,-,-,-,-,-,-,-
Orobanche leptantha,-,-,KY513970,-,-,-,-,KR260928,-,-
Orobanche lucorum,-,-,KY513932,-,-,-,-,-,-,-
Orobanche lutea,-,-,KY513967,-,-,-,-,-,-,DQ310025
Orobanche lycoctoni,-,-,MG979753,-,-,-,-,AY582206,-,-
Orobanche mayeri,-,-,KY513934,-,-,-,-,-,-,-
Orobanche minor,-,-,KR260918,-,AY348568,KC542249,-,AF130336,-,DQ310021
Orobanche mlokosiewiczii,-,-,KY218654,HM854938,-,-,-,-,-,-
Orobanche owerinii,-,-,KR260925,-,-,-,-,KR260937,-,DQ310020
Orobanche ozanonis,-,-,AY960723,-,-,-,-,-,-,DQ310027
Orobanche pallidiflora,-,-,KY513963,-,-,-,-,-,-,-
Orobanche pancicii,-,-,JN796923,-,-,-,-,KR260932,-,JN796924
Orobanche picridis,-,-,KR260920,-,-,-,-,-,-,-
Orobanche pubescens,-,-,AY209268,-,-,-,-,AY582276,-,-
Orobanche raddeana,-,-,KY218657,-,AM233995,KC542250,-,-,-,-
Orobanche rapum-genistae,-,-,AY209280,JN893918,-,-,-,AY582254,-,DQ310031
Orobanche reticulata,-,-,KY513956,-,-,-,-,-,-,-
Orobanche rigens,-,-,-,-,-,-,-,AY582266,-,-
Orobanche ritro,-,-,EU655617,-,-,-,-,-,-,-
Orobanche salviae,-,-,AY209252,-,-,-,-,-,-,-
Orobanche santolinae,-,-,EU655604,-,-,-,-,-,-,-
Orobanche sintenisii,-,-,AY209276,-,-,-,-,-,-,DQ310026
Orobanche teucrii,-,-,KR260924,-,-,-,-,KR260934,-,DQ310024
Orobanche transcaucasica,-,-,AY209261,-,-,-,-,AY582272,-,-
Orthocarpus barbatus,EF103666,-,EF103730,-,-,-,-,MG223924,-,-
Orthocarpus bracteosus,-,-,EF103729,KC542172,-,-,-,MG224343,-,AF055140
Orthocarpus cuspidatus,EF103668,-,EF103731,-,-,-,-,-,-,-
Orthocarpus imbricatus,-,-,EF103733,-,-,-,-,MG222714,-,-
Orthocarpus luteus,EF103664,-,EF103727,-,-,-,-,JX848479,-,-
Orthocarpus pachystachyus,EF103669,-,-,-,-,-,-,-,-,-
Orthocarpus purpureoalbus,EF103665,-,EF103728,-,-,-,-,-,-,-
Orthocarpus tenuifolius,EF103671,-,EF103734,JX091328,AM233998,KC542252,-,MG224572,-,JX023018
Orthocarpus tolmiei,EF103663,-,EF103726,-,-,-,-,-,-,-
Parentucellia latifolia,-,-,-,HM193526,AM233999,KC542253,KU216810,KU235130,-,-
Paulownia coreana,-,-,MF444628,-,-,-,-,-,-,-
Paulownia fortunei,-,-,KP718623,-,-,-,-,KP088705,-,-
Paulownia tomentosa,-,-,KJ563196,JX495739,-,KC542195,KX783442,L36447,-,AF055155
Pedicularis abrotanifolia,-,-,AF478941,KT022521,-,-,-,KT022695,-,-
Pedicularis achilleifolia,-,-,HG424062,KY088003,-,-,-,-,-,-
Pedicularis adunca,-,-,KY069304,HG423881,-,-,-,-,-,-
Pedicularis alaschanica,-,-,HG424063,JF955053,-,-,JN045877,JF942942,-,-
Pedicularis alatauica,-,-,AY949680,HG423883,-,-,-,-,-,-
Pedicularis albertii,-,-,HG424065,-,-,-,-,-,-,-
Pedicularis albida,-,-,HG424066,HG423884,-,-,-,-,-,-
Pedicularis albolabiata,-,-,-,HG424033,-,-,-,KC483339,-,-
Pedicularis aloensis,-,-,HG424215,KR699638,-,-,KR699633,KR078261,-,-
Pedicularis alopecuroides,-,-,KF277524,HG423885,-,-,JN045881,-,-,-
Pedicularis alopecuros,-,-,HG424067,JF955056,-,-,-,JF942945,-,-
Pedicularis altaica,-,-,HG424068,HG423887,-,-,-,KT022696,-,-
Pedicularis amoena,-,-,KY069291,KY088008,-,-,-,-,-,-
Pedicularis amoeniflora,-,-,KY069306,HG423889,-,-,-,-,-,-
Pedicularis amplituba,-,-,HG424071,JF955062,-,-,JN045886,JF942951,-,-
Pedicularis anas,-,-,JF977468,JF955064,-,-,JN045888,JF942953,-,-
Pedicularis angustifolia,-,-,JN252731,HG423891,-,-,-,-,-,-
Pedicularis angustilabris,-,-,HG424073,KT022523,-,-,-,KT022697,-,-
Pedicularis angustiloba,-,-,KF277525,-,-,-,-,-,-,-
Pedicularis anserantha,-,-,HG424074,-,-,-,-,-,-,-
Pedicularis anthemifolia,-,-,AY949636,KR006663,-,-,KR006686,KR006674,-,-
Pedicularis arguteserrata,-,-,JN252733,HG423893,-,-,-,-,-,-
Pedicularis armata,-,-,HG424075,KT022526,-,-,-,KT022700,-,-
Pedicularis armena,-,-,KF277527,-,-,-,-,-,-,-
Pedicularis artselaeri,-,-,HG424077,HG423896,-,-,-,KT022701,-,-
Pedicularis ascendens,-,-,HG424078,-,-,-,-,-,-,-
Pedicularis aspleniifolia,-,-,HG424079,-,-,-,-,-,-,-
Pedicularis atropurpurea,-,-,HG424080,-,-,-,-,-,-,-
Pedicularis attollens,-,-,HG424081,KT022528,-,-,-,KT022702,-,AF055149
Pedicularis atuntsiensis,-,-,EF103743,KT022529,-,-,-,KT022703,-,-
Pedicularis aurata,-,-,KT022427,KT022530,-,-,-,KT022704,-,-
Pedicularis axillaris,-,-,JN252735,JF955069,-,-,JN045893,KT022705,-,-
Pedicularis batangensis,-,-,-,JF955073,-,-,-,JF942962,-,-
Pedicularis bella,-,-,HG424084,KT022532,-,-,-,KT022706,-,-
Pedicularis bidentata,-,-,JN252737,JN120035,-,-,-,-,-,-
Pedicularis bietii,-,-,JN252738,-,-,-,JN120052,JN120042,-,-
Pedicularis bifida,-,-,JN120027,-,-,-,-,-,-,-
Pedicularis brachystachys,-,-,AY949685,HG423903,-,-,-,-,-,-
Pedicularis bracteosa,-,-,KY069308,-,-,-,-,MG222312,-,-
Pedicularis brevilabris,-,-,HG424090,JF955077,-,-,JN045902,JF942966,-,-
Pedicularis canadensis,-,-,-,HG423909,-,-,KP643390,KP643854,-,-
Pedicularis capitata,-,-,HG424091,KC475190,-,-,-,KC483353,-,-
Pedicularis caucasica,-,-,HG424092,-,-,-,-,-,-,-
Pedicularis centranthera,-,-,HG424093,-,-,-,-,-,-,-
Pedicularis cephalantha,-,-,KJ735488,JF955081,-,-,JN045907,JF942970,-,-
Pedicularis cernua,-,-,HG424094,KT022536,-,-,-,KT022709,-,-
Pedicularis chamissonis,-,-,KF277529,-,-,-,-,-,-,-
Pedicularis cheilanthifolia,-,-,AY949631,KT280236,-,-,-,KT280131,-,-
Pedicularis chenocephala,-,-,JN252742,KT022542,-,-,-,KT022715,-,-
Pedicularis chinensis,-,-,HG424095,KT280237,-,-,-,KT280132,-,-
Pedicularis cinerascens,-,-,KF277531,JF955088,-,-,JN045911,JF942977,-,-
Pedicularis clarkei,-,-,HG424096,JF955090,-,-,JN045913,JF942979,-,-
Pedicularis comosa,-,-,JF977496,-,-,-,-,-,-,-
Pedicularis compacta,-,-,HG424097,KY088012,-,-,-,-,-,-
Pedicularis comptoniifolia,-,-,KY069309,JF955092,-,-,JN045915,JF942981,-,-
Pedicularis confertiflora,-,-,JF977498,JX091329,-,-,JN045921,JF942984,-,JX023021
Pedicularis confluens,-,-,HG424099,KT022545,-,-,-,KT022718,-,-
Pedicularis contorta,-,-,KF277532,-,-,-,-,MG222019,-,-
Pedicularis cornigera,-,-,HG424100,-,-,-,-,-,-,-
Pedicularis coronata,-,-,AY949634,-,-,-,-,AF206803,-,-
Pedicularis corydaloides,-,-,-,KT022546,-,-,-,KT022719,-,-
Pedicularis cranolopha,-,-,KT022436,JF955099,-,-,JN045922,KT280133,-,-
Pedicularis crassirostris,-,-,JF977506,-,-,-,-,-,-,-
Pedicularis crenata,-,-,HG424102,JF955106,-,-,JN045932,JF942996,-,-
Pedicularis crenularis,-,-,JF977513,-,-,-,-,-,-,-
Pedicularis crenulata,-,-,HG424103,HG423921,-,-,-,-,-,-
Pedicularis cristatella,-,-,JN252747,KT022549,-,-,-,KT022721,-,-
Pedicularis croizatiana,-,-,JN252748,-,-,-,-,KT022722,-,-
Pedicularis cryptantha,-,-,-,KT022550,-,-,-,KT022723,-,-
Pedicularis cyathophylla,-,-,KF277535,JF955110,-,-,KF011795,KF011751,-,-
Pedicularis cyathophylloides,-,-,KP986203,JF955115,-,-,JN045938,JF943005,-,-
Pedicularis cyclorhyncha,-,-,HG424105,KT022553,-,-,-,KT022726,-,-
Pedicularis cymbalaria,-,-,KF277536,JF955120,-,-,JN045943,JF943010,-,-
Pedicularis cystopteridifolia,-,-,JF977528,HG423924,-,-,-,-,-,-
Pedicularis dasyantha,-,-,HG424106,HG423925,-,-,-,KT022729,-,-
Pedicularis dasystachys,-,-,HG424107,HG423927,-,-,-,-,-,-
Pedicularis daucifolia,-,-,KY069311,-,-,-,-,-,-,-
Pedicularis davidii,-,-,JN252751,JF955124,-,-,JN045947,JF943014,-,-
Pedicularis debilis,-,-,JN252752,JF955127,-,-,JN045950,KT022730,-,-
Pedicularis decora,-,-,JF977534,JF955130,-,-,-,JF943020,-,-
Pedicularis decorissima,-,-,JF977537,JF955132,-,-,JN045955,JF943022,-,-
Pedicularis deltoidea,-,-,HG424111,JF955134,-,-,JN045957,JF943024,-,-
Pedicularis densiflora,-,-,JF977541,HG423931,-,-,-,KR078262,-,-
Pedicularis densispica,-,-,HG424112,JF955136,AM234002,KC542255,JN045960,KT022733,-,KC480430
Pedicularis dichotoma,-,-,KC480379,JF955141,-,-,JN045964,JF943031,-,-
Pedicularis diffusa,-,-,JF977548,KT022561,-,-,-,KT022734,-,-
Pedicularis dissectifolia,-,-,KF277538,JF955145,-,-,JN045969,JF943035,-,-
Pedicularis dolichantha,-,-,JF977553,KT022564,-,-,-,KT022737,-,-
Pedicularis dolichocymba,-,-,KF277540,JF955147,-,-,JN045970,JF943037,-,-
Pedicularis dolichoglossa,-,-,JN252755,HG423933,-,-,-,-,-,-
Pedicularis dolichorrhiza,-,-,JN252756,-,-,-,-,KT022738,-,-
Pedicularis dubia,-,-,HG424114,HG423934,-,-,-,-,-,-
Pedicularis duclouxii,-,-,-,-,-,-,-,-,-,-
Pedicularis dudleyi,-,-,AY155299,-,-,-,-,-,-,-
Pedicularis dulongensis,-,-,KJ735492,KT022567,-,-,-,KT022740,-,-
Pedicularis dunniana,-,-,KT022449,JF955149,-,-,-,JF943039,-,-
Pedicularis elata,-,-,JF977556,KT022569,-,-,-,KT022742,-,-
Pedicularis elongata,-,-,KY069312,-,-,-,-,-,-,-
Pedicularis elwesii,-,-,HG424116,JF955152,-,KC542256,JN045978,KT022743,-,JX023022
Pedicularis eriantha,-,-,JN252757,-,-,-,-,-,-,-
Pedicularis eriophora,-,-,HG424117,-,-,-,-,-,-,-
Pedicularis exaltata,-,-,HG424118,HG423937,-,-,-,-,-,-
Pedicularis fargesii,-,-,KY979598,KT022571,-,-,-,KT022744,-,-
Pedicularis fengii,-,-,KT022451,JF955156,-,-,JN045980,JF943046,-,-
Pedicularis fetisowii,-,-,JF977564,KY088017,-,-,-,KT022745,-,-
Pedicularis filicifolia,-,-,KY069295,KT022572,-,-,-,KT022746,-,-
Pedicularis filicula,-,-,KT022452,KT022573,-,-,KF011797,KF011753,-,-
Pedicularis fissa,-,-,KF011709,HG423939,-,-,-,-,-,-
Pedicularis flaccida,-,-,HG424120,KT022574,-,-,-,KT022748,-,-
Pedicularis flammea,-,-,KF277544,HG423940,-,-,-,JN965711,-,-
Pedicularis flava,-,-,HG424121,HG423941,-,-,-,-,-,-
Pedicularis fletcherii,-,-,HG424122,KT022577,-,-,-,KT022751,-,-
Pedicularis flexosoides,-,-,KF277546,-,-,-,-,-,-,-
Pedicularis flexuosa,-,-,HG424124,KT022580,-,-,-,KT022754,-,-
Pedicularis floribunda,-,-,AY949687,JF955159,-,-,JN045982,JF943049,-,-
Pedicularis foliosa,-,-,JF977566,AF489959,AM234003,-,-,AF026836,-,U48740
Pedicularis fragarioides,-,-,KC480380,-,-,-,-,-,-,-
Pedicularis franchetiana,-,-,HG424125,-,-,-,-,-,-,-
Pedicularis furbishiae,-,-,AY155314,-,-,-,-,MG221636,-,-
Pedicularis furfuracea,-,-,KJ735493,-,-,-,-,-,-,-
Pedicularis galeata,-,-,AY949701,KT022581,-,-,-,KT022755,-,-
Pedicularis gammieana,-,-,-,KT022582,-,-,-,KT022756,-,-
Pedicularis geosiphon,-,-,-,-,-,-,-,-,-,-
Pedicularis glabrescens,-,-,HG424126,JF955161,-,-,JN045985,JF943051,-,-
Pedicularis globifera,-,-,HG424127,KT022584,-,-,-,KT022758,-,-
Pedicularis gloriosa,-,-,KT022456,AB280522,-,-,-,-,-,-
Pedicularis gongshanensis,-,-,AY949647,KT022585,-,-,-,KT022759,-,-
Pedicularis gracilicaulis,-,-,KT022457,-,-,-,-,-,-,-
Pedicularis gracilis,-,-,KF277547,JF955165,-,-,JN045988,JF943055,-,-
Pedicularis gracilituba,-,-,AY949657,KT022586,-,-,-,KT022760,-,-
Pedicularis grandiflora,-,-,KF277548,AB280530,-,-,-,KT022762,-,-
Pedicularis grayi,-,-,HG424128,HG423948,-,-,-,-,-,-
Pedicularis groenlandica,-,-,HG424129,HG423949,-,-,-,HQ384873,-,-
Pedicularis gruina,-,-,HG424130,KC840063,-,-,JN045997,KC840112,-,-
Pedicularis gyirongensis,-,-,JF977577,KT022589,-,-,-,KT022763,-,-
Pedicularis gyroflexa,-,-,KF277550,-,-,-,HG800550,HG417020,-,-
Pedicularis gyrorhyncha,-,-,HG424131,KC542174,AM234004,KC542257,JN045999,KT022764,-,JX023023
Pedicularis hacquetii,-,-,JN252762,-,-,-,-,-,-,-
Pedicularis hemsleyana,-,-,KY979593,-,-,-,-,-,-,-
Pedicularis henryi,-,-,JN252763,KT022591,-,-,-,KT022765,-,-
Pedicularis hirsuta,-,-,KF277592,KC475208,-,-,-,KT022766,-,-
Pedicularis hoffmeisteri,-,-,HG424132,-,-,-,-,-,-,-
Pedicularis howellii,-,-,AY949640,-,-,-,-,-,-,-
Pedicularis inaequilobata,-,-,KJ735495,KT022593,-,-,-,KT022767,-,-
Pedicularis incarnata,-,-,KT022461,KY088018,-,-,-,-,-,-
Pedicularis inconspicua,-,-,KY069313,HG423953,-,-,-,-,-,-
Pedicularis ingens,-,-,HG424134,JX091330,-,KC542258,JN046003,JF943069,-,JX023024
Pedicularis insignis,-,-,HG424135,KT022594,-,-,-,KT022768,-,-
Pedicularis integrifolia,-,-,KT022462,JF955181,-,-,JN046005,JF943071,-,-
Pedicularis interior,-,-,JN252765,-,-,-,-,MG221956,-,-
Pedicularis interrupta,-,-,-,HG423956,-,-,-,-,-,-
Pedicularis ishidoyana,-,-,HG424137,-,-,-,-,-,-,-
Pedicularis iwatensis,-,-,KY514254,AB280513,-,-,-,-,-,-
Pedicularis julica,-,-,AY949654,KC542175,AM234005,KC542259,-,-,-,JX023025
Pedicularis kanei,-,-,HG424138,-,-,-,-,-,-,-
Pedicularis kangtingensis,-,-,KJ735496,KT022595,-,-,-,KT022769,-,-
Pedicularis kansuensis,-,-,KF277553,JN120030,AM234006,-,JN046008,KR006677,-,-
Pedicularis karatavica,-,-,JN252766,HG423960,-,-,-,-,-,-
Pedicularis keiskei,-,-,HG424140,-,-,-,-,-,-,-
Pedicularis kerneri,-,-,HG424141,-,AM234007,KC542260,-,-,-,KC480431
Pedicularis kiangsiensis,-,-,KC480384,-,-,-,-,-,-,-
Pedicularis korolkowii,-,-,KT022465,HG423963,-,-,-,-,-,-
Pedicularis krylovii,-,-,HG424143,HG423964,-,-,-,-,-,-
Pedicularis kusnetzovii,-,-,HG424144,HG423965,-,-,-,-,-,-
Pedicularis labordei,-,-,HG424145,JF955189,-,-,JN046016,JF943080,-,-
Pedicularis labradorica,-,-,JF977597,HG423966,-,-,JN046021,JN965717,-,-
Pedicularis lachnoglossa,-,-,HG424146,JF955194,-,-,-,JF943085,-,-
Pedicularis lanata,-,-,AY949658,HG423967,-,-,-,KC483380,-,-
Pedicularis lanceolata,-,-,HG424147,HG423968,-,-,-,MG222671,-,JX023026
Pedicularis langsdorffii,-,-,HG424149,HG423969,-,-,-,KC483396,-,-
Pedicularis lapponica,-,-,HG424150,HG423970,-,-,-,JN965719,-,-
Pedicularis lasiophrys,-,-,HG424151,KR707755,-,-,-,KR707777,-,-
Pedicularis lasiostachys,-,-,AY949662,HG423971,-,-,-,-,-,-
Pedicularis latituba,-,-,HG424152,JF955199,-,-,JN046023,JF943090,-,-
Pedicularis laxiflora,-,-,HG424153,-,-,-,-,-,-,-
Pedicularis lecomtei,-,-,AY155313,JF955202,-,-,-,JF943093,-,-
Pedicularis legendrei,-,-,JF977610,KT022601,-,-,-,KT022775,-,-
Pedicularis leptosiphon,-,-,KF277555,KT022602,-,-,-,KT022776,-,-
Pedicularis likiangensis,-,-,KF277556,JF955205,-,-,JN120047,KT022777,-,-
Pedicularis lineata,-,-,JN252768,KT022604,-,-,-,KT022778,-,-
Pedicularis longicaulis,-,-,AY949664,JF955207,-,-,JN046029,JF943098,-,-
Pedicularis longiflora,-,-,JF977615,KT280239,-,-,-,KT280134,-,-
Pedicularis longipes,-,-,KY069293,JF955216,-,-,JN046039,JF943107,-,-
Pedicularis lophotricha,-,-,HG424154,-,-,-,-,-,-,-
Pedicularis ludwigii,-,-,AY155308,HG423974,-,-,-,-,-,-
Pedicularis lutescens,-,-,HG424155,JF955218,-,-,JN046041,KT022779,-,-
Pedicularis lyrata,-,-,JF977626,JF955223,-,-,JN046046,JF943114,-,-
Pedicularis macilenta,-,-,JN252770,KT022606,-,-,-,KT022780,-,-
Pedicularis macrochila,-,-,KF277558,HG423975,-,-,-,JF943121,-,-
Pedicularis macrorhyncha,-,-,HG424156,JF955230,-,-,-,-,-,-
Pedicularis macrosiphon,-,-,JF977638,JF955232,-,-,JN046054,JF943123,-,-
Pedicularis mandshurica,-,-,JN252771,-,-,-,-,-,-,-
Pedicularis mariae,-,-,KY514252,HG423977,-,-,-,-,-,-
Pedicularis maximowiczii,-,-,HG424158,HG423978,-,-,-,-,-,-
Pedicularis maxonii,-,-,HG424159,JF955235,-,-,JN046057,JF943126,-,-
Pedicularis mayana,-,-,JF977643,KR707759,-,-,-,KR707773,-,-
Pedicularis megalantha,-,-,KR707790,JF955237,-,-,-,JF943128,-,-
Pedicularis megalochila,-,-,JF977645,KT022607,-,-,-,KT022781,-,-
Pedicularis membranacea,-,-,-,-,-,-,-,-,-,-
Pedicularis merrilliana,-,-,DQ839427,-,-,-,-,-,-,-
Pedicularis metaszetschuanica,-,-,HG424160,KT022608,-,-,-,KT022782,-,-
Pedicularis micrantha,-,-,HG424161,KR707766,-,-,-,KR707783,-,-
Pedicularis microchila,-,-,KF277560,KT022609,-,-,-,KT022783,-,-
Pedicularis mixta,-,-,HG424162,-,-,-,-,-,-,-
Pedicularis mollis,-,-,HG424163,-,-,-,-,KT022784,-,-
Pedicularis moschata,-,-,AY949671,KY088022,-,-,-,-,-,-
Pedicularis moupinensis,-,-,KY069296,KT022610,-,-,-,KT022785,-,-
Pedicularis muscicola,-,-,JN252775,KT022611,-,-,-,KT022786,-,-
Pedicularis muscoides,-,-,KF277563,KT022612,-,-,-,KT022787,-,-
Pedicularis mussotii,-,-,AY949635,JF955239,-,-,JN046063,JF943130,-,-
Pedicularis mychophila,-,-,HG424164,KT022613,-,-,-,KT022788,-,-
Pedicularis myriophylla,-,-,KF277564,HG423984,-,-,-,-,-,-
Pedicularis nasturtiifolia,-,-,KY069316,KT022614,-,-,-,KT022789,-,-
Pedicularis nasuta,-,-,KF277565,HG423985,-,-,-,-,-,-
Pedicularis nigra,-,-,HG424166,JF955244,-,-,JN046066,JF943135,-,-
Pedicularis nipponica,-,-,JF977652,AB280516,-,-,-,-,-,-
Pedicularis nodosa,-,-,AY949663,-,-,-,-,-,-,-
Pedicularis obliquigaleata,-,-,HG424167,KT022615,-,-,-,KT022790,-,-
Pedicularis ochiaiana,-,-,KF277566,AB280526,-,-,-,-,-,-
Pedicularis oederi,-,-,-,MF158645,-,-,-,JF943137,-,-
Pedicularis oliveriana,-,-,KY069324,KT022616,-,-,-,KT022791,-,-
Pedicularis omiiana,-,-,HG424169,HG423989,-,-,-,-,-,-
Pedicularis ornithorhyncha,-,-,DQ839426,JF955250,-,-,-,MG223642,-,-
Pedicularis orthocoryne,-,-,HG424170,-,-,-,-,JF943141,-,-
Pedicularis oxycarpa,-,-,JF977658,JF955252,-,-,KC840091,KC840111,-,-
Pedicularis oxyrhyncha,-,-,HG424171,-,-,-,-,-,-,-
Pedicularis pacifica,-,-,AY949651,-,-,-,-,-,-,-
Pedicularis paiana,-,-,-,KT022617,-,-,-,KT022793,-,-
Pedicularis pallasii,-,-,KT022472,HG423991,-,-,-,-,-,-
Pedicularis palustris,-,-,-,JN896186,-,-,-,MG223670,-,-
Pedicularis pantlingii,-,-,KX165716,KT022618,-,-,-,KT022794,-,-
Pedicularis parryi,-,-,KT022473,HG423993,-,-,-,-,-,-
Pedicularis parviflora,-,-,HG424174,HG423994,-,-,-,MG222603,-,-
Pedicularis pectinatiformis,-,-,HG424175,KT022619,-,-,-,KT022795,-,-
Pedicularis peduncularis,-,-,HG424176,HG423996,-,-,-,-,-,-
Pedicularis pennellii,-,-,HG424177,HG423997,-,-,-,MG222820,-,-
Pedicularis pentagona,-,-,AY949655,KT022620,-,-,-,KT022796,-,-
Pedicularis petelotii,-,-,KF277569,KT022621,-,-,-,KT022797,-,-
Pedicularis pheulpinii,-,-,KF277570,KT022622,-,-,-,KT022798,-,-
Pedicularis physocalyx,-,-,HG424179,HG423999,-,-,-,KT022799,-,-
Pedicularis pilostachya,-,-,KY069319,KT022624,-,-,-,KT022800,-,-
Pedicularis pinetorum,-,-,HG424181,KT022625,-,-,-,KT022801,-,-
Pedicularis plicata,-,-,KT022475,KT022626,-,-,-,KT022802,-,-
Pedicularis polyodonta,-,-,JN252784,-,-,-,-,-,-,-
